"CI";"Server";"PR";"Error";"Build"
;"ppc64le-ubuntu-34";"38432";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12757"
;"ppc64le-ubuntu-34";"38432";"  Could not resolve 'security.debian.org'";"12759"
;"ppc64le-ubuntu-34";"38450";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12744"
;"ppc64le-ubuntu-34";"38451";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12743"
;"ppc64le-ubuntu-34";"38380";"  Could not resolve 'security.debian.org'";"12768"
;"ppc64le-ubuntu-34";"38443";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12769"
;"ppc64le-ubuntu-34";"34143";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12805"
;"ppc64le-ubuntu-34";"38380";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12777"
;"ppc64le-ubuntu-34";"38452";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12783"
;"ppc64le-ubuntu-34";"38475";"  Could not resolve 'ftp.us.debian.org'";"12804"
;"ppc64le-ubuntu-34";"38480";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12833"
;"ppc64le-ubuntu-34";"38480";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12839"
;"ppc64le-ubuntu-34";"38487";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12824"
;"ppc64le-ubuntu-34";"38050";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12863"
;"ppc64le-ubuntu-34";"38497";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12866"
;"s390x-ubuntu-25";"37432";"  Could not resolve 'security.debian.org'";"12563"
;"s390x-ubuntu-25";"38392";"  Could not resolve 'security.debian.org'";"12565"
;"s390x-ubuntu-25";"38409";"  Could not resolve 'security.debian.org'";"12575"
;"s390x-ubuntu-25";"38409";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12577"
;"s390x-ubuntu-25";"38432";"  Could not resolve 'security.debian.org'";"12583"
;"s390x-ubuntu-25";"38432";"  Could not resolve 'security.debian.org'";"12587"
;"s390x-ubuntu-25";"38432";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12590"
;"s390x-ubuntu-25";"38432";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12591"
;"s390x-ubuntu-25";"38450";"  Could not resolve 'security.debian.org'";"12573"
;"s390x-ubuntu-25";"38459";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12576"
;"s390x-ubuntu-25";"38401";"  Could not resolve 'security.debian.org'";"12603"
;"s390x-ubuntu-25";"38138";"  Could not resolve 'security.debian.org'";"12609"
;"s390x-ubuntu-25";"38410";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12631"
;"s390x-ubuntu-25";"38410";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12632"
;"s390x-ubuntu-25";"38449";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12634"
;"s390x-ubuntu-25";"38452";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12612"
;"s390x-ubuntu-25";"38452";"  Could not resolve 'security.debian.org'";"12630"
;"s390x-ubuntu-25";"38473";"  Could not resolve 'security.debian.org'";"12626"
;"s390x-ubuntu-25";"38456";"  Could not resolve 'security.debian.org'";"12647"
;"s390x-ubuntu-25";"38477";"  Could not resolve 'security.debian.org'";"12644"
;"s390x-ubuntu-25";"38480";"  Could not resolve 'security.debian.org'";"12649"
;"s390x-ubuntu-25";"38486";"  Could not resolve 'security.debian.org'";"12660"
;"s390x-ubuntu-25";"38487";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12661"
;"s390x-ubuntu-25";"38409";"  Could not resolve 'security.debian.org'";"12694"
;"s390x-ubuntu-25";"38489";"  Could not resolve 'security.debian.org'";"12667"
;"s390x-ubuntu-25";"38490";"  Could not resolve 'security.debian.org'";"12670"
;"s390x-ubuntu-25";"38496";"  Could not resolve 'security.debian.org'";"12690"
;"s390x-ubuntu-25";"38050";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12713"
;"s390x-ubuntu-25";"38497";"  Could not resolve 'security.debian.org'";"12702"
;"s390x-ubuntu-25";"38500";"  Could not resolve 'cdn-fastly.deb.debian.org'";"12722"
;"s390x-ubuntu-25";"38500";"  Could not resolve 'security.debian.org'";"12723"
